nome,x,y
Cidade1,29.55,48.48
Cidade2,50.35,38.91
Cidade3,42.37,45.42
Cidade4,23.44,56.17
Cidade5,3.62,22.77
Cidade6,32.49,38.06
Cidade7,24.87,69.14
Cidade8,90.97,9.59
Cidade9,96.95,76.4
Cidade10,46.56,66.24
Cidade11,11.47,4.95
Cidade12,45.97,7.19
Cidade13,70.28,36.75
Cidade14,88.29,95.05
Cidade15,54.83,83.38
Cidade16,94.67,35.26
Cidade17,88.64,7.18
Cidade18,89.42,77.33
Cidade19,8.21,77.22
Cidade20,53.84,25.63
Cidade21,48.75,44.39
Cidade22,52.02,73.6
Cidade23,50.33,47.92
Cidade24,31.71,81.02
Cidade25,47.1,90.47
Cidade26,87.35,81.64
Cidade27,41.61,45.07
Cidade28,55.72,59.7
Cidade29,51.71,25.73
Cidade30,48.87,62.0
Cidade31,55.35,4.11
Cidade32,32.58,93.7
Cidade33,34.81,67.89
Cidade34,82.48,46.09
Cidade35,58.14,66.88
Cidade36,21.11,72.47
Cidade37,10.26,48.88
Cidade38,20.39,46.01
Cidade39,96.81,49.88
Cidade40,54.39,86.67
Cidade41,38.7,10.49
Cidade42,56.13,12.95
Cidade43,79.35,26.14
Cidade44,58.03,26.79
Cidade45,49.93,31.23
Cidade46,84.51,58.59
Cidade47,66.41,75.94
Cidade48,45.79,20.57
Cidade49,33.26,32.92
Cidade50,64.01,86.59
